id	date	iso2
8	1 Apr 2002	AL
51	1 Mar 2006	AM
40	1 May 1993	AT
56	13 Dec 1960	BE
70	1 Mar 2004	BA
100	1 Jun 1997	BG
191	1 Mar 1997	HR
196	1 Jan 1991	CY
900	1 Jan 1991	XK
203	1 Jan 1996	CZ
208	1 Aug 1994	DK
246	1 Jan 2001	FI
250	13 Dec 1960	FR
268	1 Jan 2014	GE
276	13 Dec 1960	DE
300	1 Sep 1988	GR
348	1 Jul 1992	HU
372	1 Jan 1965	IE
380	1 Apr 1996	IT
428	1 Jan 2011	LV
440	1 Sep 2006	LT
442	13 Dec 1960	LU
470	1 Jul 1989	MT
498	1 Mar 2000	MD
492	1 Dec 1997	MC
499	1 Jul 2007	ME
528	13 Dec 1960	NL
578	1 Mar 1994	NO
616	1 Sep 2004	PL
620	1 Jan 1986	PT
642	1 Sep 1996	RO
688	1 Jul 2005	RS
703	1 Jan 1997	SK
705	1 Oct 1995	SI
724	1 Jan 1997	ES
752	1 Dec 1995	SE
756	1 Jul 1992	CH
807	1 Nov 1998	MK
792	1 Mar 1989	TR
804	1 May 2004	UA
826	13 Dec 1960	GB
233	1 Jan 2015	EE
